school_id,pct_proficient_math,pct_proficient_reading,pct_white,pct_black,pct_asian,pct_hispanic,pct_amerindian,pct_nativehawaii,pct_tworaces
381027000332,34.513515000000005,44.486484000000004,80.4878,0.9756,0.4878,2.439,14.1463,0.9756,0.4878
381050000339,,,93.75,4.1667,0.0,2.0833,0.0,0.0,0.0
381060000342,30.000001,75.0,93.8144,2.0619,0.0,2.0619,2.0619,0.0,0.0
381074000345,30.0,30.0,93.0556,1.3889,1.3889,0.0,1.3889,0.0,2.7778
381081000348,,,94.6237,0.5376,0.0,1.0753,3.7634,0.0,0.0
381086000355,44.485713,64.485713,89.5238,0.0,0.4762,6.1905,3.3333,0.4762,0.0
381098000358,,,93.4783,0.0,0.0,0.0,6.5217,0.0,0.0
381114000366,25.0,75.0,88.75,0.0,0.0,7.5,1.25,0.0,2.5
381143000374,,,95.7143,1.9048,0.0,1.9048,0.0,0.0,0.4762
381170000382,25.0,75.0,98.1132,0.0,0.0,1.8868,0.0,0.0,0.0
381182000387,22.000001,42.0,88.2061,2.5768,0.2973,2.0813,6.442,0.2973,0.0991
381182000858,25.0,,88.5714,0.0,0.0,2.8571,8.5714,0.0,0.0
381185000006,,,1.3158,0.0,0.0,5.2632,90.7895,0.0,2.6316
381202000395,49.518518,49.518518,96.6102,0.0,0.0,0.8475,2.5424,0.0,0.0
381235000402,25.0,75.0,86.0465,3.4884,0.0,1.1628,9.3023,0.0,0.0
381243000408,75.0,75.0,90.6977,2.3256,0.0,2.3256,4.6512,0.0,0.0
381254000415,17.0,12.0,86.0236,2.5591,0.1969,5.9055,3.5433,0.1969,1.5748
